n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
100,0.67,0.3111,1,13650,30.21587,5.954263,1.465716472246679e-200,2.4386590665240246e-196,0.6312997347480106,0.03265557609365373
100,0.67,0.3111,1,8685,28.980846,5.4342747,1.1471727281858704e-184,9.543329925778255e-181,0.610079575596817,0.035736290819470114
100,0.67,0.3111,1,1818,27.747587,4.2668333,1.8633428063066964e-169,1.0334099203776937e-165,0.6870026525198939,0.07948243992606285
100,0.67,0.3111,1,15106,25.99051,5.436483,6.339940813608999e-149,2.637098381420663e-145,0.5013262599469496,0.02895871842267406
100,0.67,0.3111,1,1569,25.442518,3.3897395,8.542342752665936e-143,2.842549974377117e-139,0.7718832891246684,0.13863216266173753
100,0.67,0.3111,1,10133,24.03194,3.5675387,1.2895823273292387e-127,3.5760117936839787e-124,0.8010610079575596,0.22982131854590265
100,0.67,0.3111,1,8613,23.734257,2.4892845,1.597771388174864e-124,3.797674336636198e-121,0.9814323607427056,0.7178065311152187
100,0.67,0.3111,1,601,23.386576,3.0821927,5.853673889679556e-121,1.2174178272061058e-117,0.8912466843501327,0.30191004313000613
100,0.67,0.3111,1,4501,23.177002,5.6706805,7.768729065069564e-119,1.4361790464958599e-115,0.36074270557029176,0.009858287122612447
100,0.67,0.3111,0,6308,22.881506,3.3696368,7.100773493412675e-116,1.181426693834001e-112,0.884781269254467,0.32625994694960214
100,0.67,0.3111,1,3561,22.846382,2.983742,1.587588330166995e-115,2.4012995124834967e-112,0.9098143236074271,0.337030191004313
100,0.67,0.3111,1,6480,22.43481,3.935468,1.8007669156164564e-111,2.4967633285022166e-108,0.4986737400530504,0.05791743684534812
100,0.67,0.3111,1,13352,21.84954,3.3060021,7.851698546352089e-106,1.004896618570816e-102,0.6631299734748011,0.17375231053604437
100,0.67,0.3111,1,4533,20.878824,5.5509896,8.341823182095482e-97,9.913661007407474e-94,0.29973474801061006,0.00862600123228589
100,0.67,0.3111,1,4333,20.284771,3.1766188,1.7527856547093773e-91,1.9441898482036412e-88,0.5676392572944297,0.12076401725200246
100,0.67,0.3111,1,12515,20.091526,4.039312,8.753164702568458e-90,9.102197145083374e-87,0.4217506631299735,0.053604436229205174
100,0.67,0.3111,1,7415,20.004091,3.285882,5.073450614729612e-89,4.965415960463017e-86,0.6419098143236074,0.19038817005545286
100,0.67,0.3111,1,5600,19.787537,3.1742325,3.812297744708113e-87,3.523833882025199e-84,0.5013262599469496,0.08995686999383858
100,0.67,0.3111,0,8550,19.713264,5.0688047,1.6591182335544318e-86,1.4528636405199283e-83,0.6500308071472581,0.050397877984084884
100,0.67,0.3111,1,3940,19.601154,3.5755115,1.5115615937441844e-85,1.2574680898357871e-82,0.38461538461538464,0.04066543438077634
100,0.67,0.3111,1,1970,19.583546,2.3292408,2.1361654483862586e-85,1.69245336810717e-82,0.8461538461538461,0.47812692544670365
100,0.67,0.3111,1,3094,19.106838,4.125048,2.2148711410326266e-81,1.675046638386402e-78,0.44562334217506633,0.07701786814540973
100,0.67,0.3111,1,8777,18.964106,2.5702827,3.377217623535211e-80,2.443049861755602e-77,0.7082228116710876,0.2556993222427603
100,0.67,0.3111,0,13937,18.42107,5.2430797,8.902597151913963e-76,6.171725475564355e-73,0.5970425138632163,0.04774535809018567
100,0.67,0.3111,1,5610,18.248606,4.865071,2.122566971305764e-74,1.4126107707434122e-71,0.246684350132626,0.009858287122612447
100,0.67,0.3111,1,7009,18.210035,2.7395914,4.296755735643658e-74,2.7495931511399686e-71,0.5172413793103449,0.11953173136167591
100,0.67,0.3111,0,12385,18.06421,2.6810262,6.098813142443995e-73,3.758224187554933e-70,0.7880468268638324,0.3076923076923077
100,0.67,0.3111,0,13914,18.058218,1.9430664,6.798158979573788e-73,4.0395631822195955e-70,0.9143561306223044,0.623342175066313
100,0.67,0.3111,1,6372,18.029882,3.558936,1.1353214087294495e-72,6.513612964979509e-70,0.376657824933687,0.05483672211953173
100,0.67,0.3111,1,15388,17.824265,3.3484342,4.580722620526805e-71,2.540468765344166e-68,0.33687002652519893,0.03820086260012323
100,0.67,0.3111,0,1873,17.817995,2.4336562,5.123954671464665e-71,2.750076058833197e-68,0.7634011090573013,0.3209549071618037
100,0.67,0.3111,1,635,17.687849,3.5499253,5.202443331834902e-70,2.7049453798459093e-67,0.38726790450928383,0.0640788662969809
100,0.67,0.3111,0,1184,17.302402,2.1079342,4.51180142480243e-67,2.274768245632207e-64,0.862600123228589,0.5411140583554377
100,0.67,0.3111,0,4148,17.17628,3.933098,3.9974765596373475e-66,1.956176911742535e-63,0.5988909426987061,0.08753315649867374
100,0.67,0.3111,1,1081,16.839605,2.888509,1.2506965596754143e-63,5.945454102822727e-61,0.38992042440318303,0.07024029574861368
100,0.67,0.3111,1,4301,16.76216,2.3158333,4.615490143806731e-63,2.1331256947960106e-60,0.6551724137931034,0.26001232285890324
100,0.67,0.3111,1,1627,16.644844,3.0967517,3.2982068939062326e-62,1.4831234135354567e-59,0.34748010610079577,0.053604436229205174
100,0.67,0.3111,1,8165,16.571653,5.1498356,1.117122212647486e-61,4.891231414218124e-59,0.1989389920424403,0.006777572396796057
100,0.67,0.3111,1,10236,16.548439,2.5485682,1.643077382163752e-61,7.009620893446282e-59,0.4562334217506631,0.10412815773259396
100,0.67,0.3111,1,7108,16.500223,3.906366,3.6553910890368216e-61,1.5204599234848661e-58,0.23607427055702918,0.016019716574245224
100,0.67,0.3111,1,589,16.38425,2.109402,2.478058075431144e-60,1.005608055098131e-57,0.6949602122015915,0.30437461491065926
100,0.67,0.3111,1,1606,16.3078,4.479413,8.686433487860893e-60,3.441068580262608e-57,0.23342175066312998,0.01725200246457178
100,0.67,0.3111,1,8227,16.012676,1.7408377,1.0422849235919666e-57,4.032915478772823e-55,0.8063660477453581,0.44731977818853974
100,0.67,0.3111,1,11291,15.777696,2.683873,4.430674260515621e-56,1.6753990533286113e-53,0.38726790450928383,0.08009858287122612
100,0.67,0.3111,1,11656,15.688029,2.5722468,1.826367803206673e-55,6.752690557722805e-53,0.4217506631299735,0.09919901417128774
100,0.67,0.3111,1,14373,15.617664,1.8183258,5.5190601888477366e-55,1.996220074392362e-52,0.843501326259947,0.625385089340727
100,0.67,0.3111,1,6799,15.5911665,3.2462275,8.359303830235229e-55,2.959193555903271e-52,0.35809018567639256,0.07085643869377696
100,0.67,0.3111,0,9818,15.588338,2.3416886,8.737713602548408e-55,3.0287099774833418e-52,0.7479975354282193,0.38726790450928383
100,0.67,0.3111,1,7714,15.58637,2.8389678,9.011002612765269e-55,3.0596951320650726e-52,0.4562334217506631,0.13185459026494148
100,0.67,0.3111,1,13605,15.489673,4.2889566,4.07359935789124e-54,1.3555309223318892e-51,0.22015915119363394,0.017868145409735057
