n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
15,1.0,0.2864,1,13650,31.388397,6.4637394,2.9135398026642594e-216,4.847547523672795e-212,0.6580310880829016,0.030978934324659233
15,1.0,0.2864,1,1818,29.831593,4.5978546,1.521433654902671e-195,1.2656806575135319e-191,0.7435233160621761,0.08178438661710037
15,1.0,0.2864,1,8685,29.780224,5.586269,7.046014887782706e-195,3.9077198567642885e-191,0.6450777202072538,0.04151177199504337
15,1.0,0.2864,1,1569,26.528395,3.5999115,4.560443443616374e-155,1.8969164503722307e-151,0.8160621761658031,0.14807930607187111
15,1.0,0.2864,1,15106,26.273062,5.4265504,3.897320356310438e-152,1.2968723217658613e-148,0.5233160621761658,0.03407682775712516
15,1.0,0.2864,1,10133,26.176294,3.994934,4.948389945360867e-151,1.3721885318485683e-147,0.8549222797927462,0.24845105328376704
15,1.0,0.2864,0,6308,25.338274,3.4599922,1.2101916646721241e-141,2.51689611460185e-138,0.9542606516290727,0.42326732673267325
15,1.0,0.2864,1,6480,25.081406,4.3816214,7.935868007582648e-139,1.650462148877001e-135,0.5673575129533679,0.05885997521685254
15,1.0,0.2864,1,8613,25.035778,2.5934446,2.4942148056385196e-138,4.610971770690409e-135,0.9974093264248705,0.822180916976456
15,1.0,0.2864,1,4501,24.833546,5.8867865,3.894185619394325e-136,6.479146033548278e-133,0.4067357512953368,0.010532837670384139
15,1.0,0.2864,1,3561,24.402458,3.3256295,1.610470566751529e-131,2.435909935419267e-128,0.9430051813471503,0.355638166047088
15,1.0,0.2864,1,601,24.30204,3.329352,1.8653301304802957e-130,2.58628022591093e-127,0.917098445595855,0.32342007434944237
15,1.0,0.2864,1,4533,23.602505,6.6706405,3.632577163910006e-123,4.649139911779591e-120,0.3471502590673575,0.004337050805452293
15,1.0,0.2864,1,13352,23.124313,3.3722012,2.6367816684947775e-118,3.1336266714582935e-115,0.7357512953367875,0.2100371747211896
15,1.0,0.2864,1,1970,22.118473,2.50124,2.0991159644832596e-108,2.3283394278048316e-105,0.9378238341968912,0.5954151177199505
15,1.0,0.2864,1,4333,22.079023,3.2880864,5.028420575085712e-108,5.2289288455172545e-105,0.6476683937823834,0.14312267657992564
15,1.0,0.2864,1,5610,21.853872,5.453175,7.141407222202319e-106,6.989337256647188e-103,0.3238341968911917,0.008674101610904586
15,1.0,0.2864,1,12515,21.613235,4.1590877,1.3485835981275596e-103,1.2465407725359075e-100,0.48186528497409326,0.06319702602230483
15,1.0,0.2864,1,3940,20.935246,3.5465283,2.5574844686902514e-97,2.1275713295034202e-94,0.4481865284974093,0.05204460966542751
15,1.0,0.2864,0,8550,20.886393,4.6645093,7.119768885145033e-97,5.384487032320139e-94,0.6954887218045113,0.06683168316831684
15,1.0,0.2864,1,7009,20.862791,2.9906428,1.1666177503761555e-96,9.242945776551654e-94,0.6113989637305699,0.13630731102850063
15,1.0,0.2864,0,1873,20.691332,2.4982655,4.146085889563648e-95,2.9992424795895643e-92,0.8690476190476191,0.42326732673267325
15,1.0,0.2864,1,5600,20.680304,3.1166592,5.211165883030646e-95,3.76971208529843e-92,0.5647668393782384,0.11152416356877323
15,1.0,0.2864,1,3094,20.627853,4.271049,1.5435180504877698e-94,1.0700438885006464e-91,0.49222797927461137,0.08240396530359356
15,1.0,0.2864,0,13914,20.497808,2.0136328,2.2521364314225877e-93,1.4988418378403605e-90,0.974937343358396,0.745049504950495
15,1.0,0.2864,0,12385,19.720032,2.878889,1.4513610510447623e-86,8.624194702600985e-84,0.825187969924812,0.3292079207920792
15,1.0,0.2864,1,15388,19.570274,3.4605012,2.7718574048773347e-85,1.647077267941039e-82,0.3860103626943005,0.040892193308550186
15,1.0,0.2864,1,7415,19.484922,3.1430528,1.4740340675722886e-84,8.174992938755913e-82,0.6632124352331606,0.21933085501858737
15,1.0,0.2864,1,8777,19.479,2.5906408,1.6547868997530123e-84,8.881401431642136e-82,0.7512953367875648,0.2949194547707559
15,1.0,0.2864,0,13937,19.466654,5.0425367,2.1058679488935185e-84,1.1679143644563453e-81,0.6259398496240601,0.04950495049504951
15,1.0,0.2864,0,1184,19.166588,2.3050084,7.037597331241889e-82,3.5482286180970476e-79,0.8884711779448622,0.5668316831683168
15,1.0,0.2864,1,15526,18.827139,3.7138999,4.5255325050184464e-79,2.3529940568280285e-76,0.35233160621761656,0.03717472118959108
15,1.0,0.2864,1,5693,18.681255,3.9401007,7.034621409302292e-78,3.546728212362774e-75,0.32642487046632124,0.02973977695167286
15,1.0,0.2864,1,11291,18.621899,2.9475985,2.135115705939811e-77,1.0448251504537228e-74,0.4896373056994819,0.10037174721189591
15,1.0,0.2864,1,4301,18.581045,2.5610616,4.5751006650126584e-77,2.1748721389851602e-74,0.7202072538860104,0.2843866171003718
15,1.0,0.2864,1,8583,18.551855,2.703341,7.878455495023725e-77,3.641159514616798e-74,0.5440414507772021,0.1294919454770756
15,1.0,0.2864,1,1081,18.530172,2.9237523,1.1790708028614683e-76,5.301994599461922e-74,0.46113989637305697,0.08364312267657993
15,1.0,0.2864,1,7282,18.453259,4.2691007,4.9092800697938964e-76,2.1494895210850223e-73,0.2849740932642487,0.01858736059479554
15,1.0,0.2864,1,489,18.396435,2.779014,1.4029707840742741e-75,5.985289206519942e-73,0.5077720207253886,0.11090458488228006
15,1.0,0.2864,1,8165,18.29479,5.9510946,9.1050552303983e-75,3.787247723084173e-72,0.22538860103626943,0.004956629491945477
15,1.0,0.2864,0,4148,18.247667,3.8944936,2.1593288152403196e-74,8.165207460901917e-72,0.6353383458646616,0.10643564356435643
15,1.0,0.2864,1,7108,18.106682,4.2203155,2.8225384087189273e-73,1.1181284296253693e-70,0.2772020725388601,0.01858736059479554
15,1.0,0.2864,1,6372,18.08444,3.3672626,4.2264237137933025e-73,1.6353311104672782e-70,0.40932642487046633,0.0687732342007435
15,1.0,0.2864,1,11656,17.857851,2.7296786,2.5112680302518375e-71,9.496017610756835e-69,0.5,0.11338289962825279
