n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
50,1.0,0.4359,1,13650,31.988749,6.8983335,1.5634842094991365e-224,2.601325027764663e-220,0.6615776081424937,0.027380211574362167
50,1.0,0.4359,1,8685,30.338043,5.815001,3.612777923884009e-202,3.005469954879107e-198,0.648854961832061,0.037958929682638455
50,1.0,0.4359,1,1818,30.18208,4.6994987,4.0712764843900024e-200,2.257929938242695e-196,0.7430025445292621,0.07902924704418171
50,1.0,0.4359,1,1569,26.967348,3.671423,3.5711558251002256e-160,1.4854222654504388e-156,0.816793893129771,0.1449906658369633
50,1.0,0.4359,1,15106,26.636108,5.626178,2.592654098559641e-156,8.627315778367062e-153,0.5241730279898219,0.031736154324828875
50,1.0,0.4359,1,10133,25.92744,3.9779434,3.267111670071482e-148,9.05970066110822e-145,0.8422391857506362,0.24891101431238333
50,1.0,0.4359,1,4501,25.58139,6.783732,2.4578745544124097e-144,5.842016690901953e-141,0.4122137404580153,0.0074673304293715
50,1.0,0.4359,1,8613,25.469244,2.6259847,4.321873946551452e-143,8.988417340340382e-140,0.9974554707379135,0.8214063472308649
50,1.0,0.4359,0,6308,25.182615,3.5070179,6.211028377911475e-140,1.1482121127965678e-136,0.9527069072806472,0.41475826972010177
50,1.0,0.4359,1,6480,25.15652,4.4967284,1.1991283425316517e-139,1.995109736304162e-136,0.5623409669211196,0.05787181082762912
50,1.0,0.4359,1,601,24.733759,3.36897,4.6365353026900173e-135,7.012970396923319e-132,0.9211195928753181,0.31985065339141255
50,1.0,0.4359,1,3561,24.572552,3.332549,2.4833262033074563e-133,3.4431317808857882e-130,0.9414758269720102,0.35345364032358434
50,1.0,0.4359,1,4533,23.991552,7.3267922,3.4069087587239226e-127,4.3603190713575865e-124,0.3486005089058524,0.002489110143123833
50,1.0,0.4359,1,13352,23.423115,3.4477923,2.4850855652422946e-121,2.9533466881786643e-118,0.732824427480916,0.20846297448662104
50,1.0,0.4359,1,1970,22.638605,2.5500064,1.8066891032070042e-113,2.003979553277209e-110,0.9389312977099237,0.5936527691350342
50,1.0,0.4359,1,4333,22.523712,3.3549309,2.4312243934410518e-112,2.5281694661295137e-109,0.6513994910941476,0.14001244555071563
50,1.0,0.4359,1,5610,22.265148,5.813781,8.0457325552679e-110,7.874405779679254e-107,0.3256997455470738,0.006845052893590542
50,1.0,0.4359,1,3940,21.677286,3.7055867,3.361175505097516e-104,3.106846558545137e-101,0.455470737913486,0.04853764779091475
50,1.0,0.4359,1,12515,21.454596,4.1180906,4.136923868088665e-102,3.622638911434695e-99,0.4758269720101781,0.06285003111387678
50,1.0,0.4359,0,8550,21.295355,5.3988147,1.2535126402943093e-100,1.042797165460836e-97,0.6938394523957685,0.05597964376590331
50,1.0,0.4359,1,7009,21.187681,3.0325663,1.2405734446018642e-99,9.82888617680277e-97,0.6132315521628499,0.13378967019290602
50,1.0,0.4359,1,5600,21.05052,3.2190719,2.2618318968569967e-98,1.7105617772684868e-95,0.5648854961832062,0.10952084629744867
50,1.0,0.4359,0,1873,20.849142,2.578659,1.5517905434881127e-96,1.1225517853284879e-93,0.8674548848786559,0.4173027989821883
50,1.0,0.4359,1,3094,20.804113,4.3374295,3.97235185308077e-96,2.753832922148244e-93,0.4910941475826972,0.08089607965152458
50,1.0,0.4359,0,13914,20.583048,2.0483794,3.894116951480774e-94,2.5916127135494845e-91,0.9738643434971997,0.7430025445292621
50,1.0,0.4359,1,8777,20.092407,2.6697888,8.599123335011153e-90,5.502777463381368e-87,0.7582697201017812,0.2912258867454885
50,1.0,0.4359,1,15388,19.885546,3.5676625,5.428844155629092e-88,3.3453744096798825e-85,0.38676844783715014,0.03920348475420037
50,1.0,0.4359,1,7415,19.873468,3.243899,6.906140116995681e-88,4.103727116663362e-85,0.6641221374045801,0.21717485998755445
50,1.0,0.4359,0,12385,19.837223,2.9725766,1.4209563629725518e-87,8.152369643840454e-85,0.8245177349097698,0.31806615776081426
50,1.0,0.4359,0,13937,19.493963,5.503384,1.235304225265104e-84,6.850997233320267e-82,0.6228998133167393,0.04580152671755725
50,1.0,0.4359,1,15526,19.305513,3.8174307,4.827284635704712e-83,2.5908503796404838e-80,0.356234096692112,0.03484754200373367
50,1.0,0.4359,1,1081,19.216679,3.046273,2.6841379342584184e-82,1.3955839671934864e-79,0.4681933842239186,0.08027380211574363
50,1.0,0.4359,1,5693,19.045202,4.0628257,7.200859307431658e-81,3.630542338092362e-78,0.3282442748091603,0.028002489110143122
50,1.0,0.4359,0,1184,19.037352,2.3208482,8.365329351263651e-81,4.0935985219507247e-78,0.8867454884878656,0.5648854961832062
50,1.0,0.4359,1,4301,18.928595,2.5769765,6.630826807420898e-80,3.152105612053397e-77,0.7251908396946565,0.28126944617299315
50,1.0,0.4359,1,7282,18.676317,4.4068503,7.716198638480542e-78,3.5661698040844237e-75,0.28498727735368956,0.017423771001866834
50,1.0,0.4359,1,11291,18.655573,2.901098,1.1377783251895155e-77,5.11631237148734e-75,0.48854961832061067,0.09894212818917238
50,1.0,0.4359,1,8583,18.606161,2.7064085,2.8642087708204043e-77,1.2540711981292076e-74,0.5419847328244275,0.1281891723708774
50,1.0,0.4359,1,8165,18.6034,6.30212,3.015689226046456e-77,1.2865394190502804e-74,0.22646310432569974,0.00373366521468575
50,1.0,0.4359,1,11656,18.551064,2.8198647,7.995546000416798e-77,3.3257473588733676e-74,0.5089058524173028,0.10952084629744867
50,1.0,0.4359,1,489,18.430927,2.8060317,7.419951565190475e-76,3.011052540039979e-73,0.5038167938931297,0.11014312383322962
50,1.0,0.4359,0,4148,18.412708,4.12164,1.0389485010487609e-75,4.115720276297448e-73,0.6353453640323584,0.0916030534351145
50,1.0,0.4359,1,1606,18.23913,4.7198052,2.524418447001234e-74,9.76773816772245e-72,0.27735368956743,0.018668326073428748
50,1.0,0.4359,1,8162,18.185825,3.6648812,6.684250531878865e-74,2.5275581897591035e-71,0.3435114503816794,0.03982576228998133
50,1.0,0.4359,1,7108,18.091127,4.2273874,3.7435269970730373e-73,1.3841067150511376e-70,0.2748091603053435,0.01804604853764779
50,1.0,0.4359,1,6799,18.05489,3.6042283,7.220533230546257e-73,2.61163547586584e-70,0.42493638676844786,0.07716241443683883
50,1.0,0.4359,1,6372,18.027805,3.4191897,1.1788014254682438e-72,4.172957046157583e-70,0.40458015267175573,0.06845052893590542
50,1.0,0.4359,1,9456,17.935097,3.519517,6.275507464594757e-72,2.1752477749151575e-69,0.37404580152671757,0.05538270068450529
50,1.0,0.4359,1,5611,17.861456,6.9657564,2.3541983357435854e-71,7.993704471449342e-69,0.1984732824427481,0.0012445550715619166
50,1.0,0.4359,1,635,17.791563,3.4377253,8.215467303558147e-71,2.733778899932009e-68,0.4173027989821883,0.07840696950840075
50,1.0,0.4359,1,1627,17.65604,3.2044263,9.143426766985594e-70,2.9829085205707116e-67,0.3842239185750636,0.060360920970752956
50,1.0,0.4359,1,14373,17.584831,1.9576849,3.2193426317167876e-69,1.0300658212789215e-66,0.8753180661577609,0.6565028002489111
50,1.0,0.4359,1,4992,17.49952,4.892715,1.4448266503826198e-68,4.5356652469935906e-66,0.22900763358778625,0.009334163036714374
50,1.0,0.4359,1,10236,17.470808,2.5742488,2.3908795365773598e-68,7.366565505476688e-66,0.5114503816793893,0.1238332296204107
50,1.0,0.4359,1,5042,17.300396,4.234381,4.671679226209165e-67,1.4132254357394198e-64,0.24936386768447838,0.015556938394523958
50,1.0,0.4359,0,11510,17.171415,1.7467957,4.346894873132452e-66,1.2914935160567453e-63,0.9751088985687617,0.8269720101781171
50,1.0,0.4359,1,7156,16.991512,2.220326,9.491177752790649e-65,2.7704248324724703e-62,0.6081424936386769,0.19166148102053515
50,1.0,0.4359,1,8883,16.96471,2.2484534,1.4983708779398533e-64,4.2982577012350475e-62,0.6081424936386769,0.18855009334163036
50,1.0,0.4359,1,7714,16.93054,2.8925884,2.6790819538595722e-64,7.555011109883994e-62,0.5165394402035624,0.15308027380211575
50,1.0,0.4359,1,151,16.800913,6.729876,2.4031392476671656e-63,6.66390513378105e-61,0.183206106870229,0.002489110143123833
50,1.0,0.4359,0,10147,16.773438,4.502786,3.817678632227628e-63,1.0412874931639881e-60,0.5258245177349098,0.043256997455470736
50,1.0,0.4359,1,8227,16.77235,1.6973674,3.888230959588442e-63,1.0434255920263306e-60,0.8676844783715013,0.5507156191661481
50,1.0,0.4359,1,1687,16.593851,1.8058283,7.720807984993344e-62,2.039028623084433e-59,0.8422391857506362,0.4915992532669571
50,1.0,0.4359,1,589,16.592844,2.0990367,7.851270524799297e-62,2.0410849842439172e-59,0.7353689567430025,0.3615432482887368
50,1.0,0.4359,1,16381,16.514435,1.8211523,2.888565066938124e-61,7.393837782110232e-59,0.8371501272264631,0.48226509023024267
50,1.0,0.4359,1,3520,16.363594,1.827944,3.4797601470467596e-60,8.772158988873333e-58,0.8880407124681934,0.5115121344119478
50,1.0,0.4359,1,5618,16.33153,3.8822777,5.888941063289261e-60,1.4623910658359213e-57,0.24681933842239187,0.020535158680771624
50,1.0,0.4359,1,7085,16.269306,2.9868386,1.6299181940260746e-59,3.9880263106185046e-57,0.36895674300254455,0.06782825140012445
50,1.0,0.4359,1,8807,16.223696,1.9887875,3.429209507539709e-59,8.268867795137054e-57,0.727735368956743,0.3939016801493466
50,1.0,0.4359,0,8618,16.038322,2.3302488,6.899253675222313e-58,1.639854037833555e-55,0.7125077784691972,0.32061068702290074
