n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
25,0.89,0.4733,4,1627,28.96215,7.5237517,1.973074921283945e-184,3.2828020540322275e-180,0.6739130434782609,0.009211873080859774
25,0.89,0.4733,1,8554,25.078382,3.1083086,8.561756369006165e-139,1.4245050246752457e-134,0.9216152019002375,0.41798606713109565
25,0.89,0.4733,1,7696,24.570127,4.2441187,2.635997593389349e-133,2.1928863979405993e-129,0.5534441805225653,0.06459784673844206
25,0.89,0.4733,1,13463,22.6925,4.467623,5.313185144639613e-114,2.9466924812171293e-110,0.41092636579572445,0.026599113362887904
25,0.89,0.4733,1,5480,21.990864,3.8843548,3.5222328516350283e-107,1.46507275463759e-103,0.5914489311163895,0.12476250791640278
25,0.89,0.4733,1,10439,21.294939,1.9526409,1.2647227453383248e-100,4.2084914073878095e-97,0.9643705463182898,0.8074730842305257
25,0.89,0.4733,3,7865,20.75595,4.2706804,1.0831859371591326e-95,1.8022047622453648e-91,0.8740157480314961,0.18579818473037907
25,0.89,0.4733,4,15502,20.430313,6.272992,8.992282023876223e-93,7.48067941566263e-89,0.43478260869565216,0.01023541453428864
25,0.89,0.4733,3,4670,20.381653,6.302555,2.4329810969528693e-92,2.023996974555092e-88,0.29133858267716534,0.0058729311265349705
25,0.89,0.4733,4,15841,19.968887,5.4722285,1.0271754185135021e-88,5.696714871075882e-85,0.8260869565217391,0.05834186284544524
25,0.89,0.4733,3,8138,19.928919,4.379937,2.2844775476794047e-88,1.2669712479429978e-84,0.5826771653543307,0.062466631073144686
25,0.89,0.4733,1,1191,19.842405,2.7516174,1.2817547661193175e-87,3.0465479712418866e-84,0.5700712589073634,0.12982900569981
25,0.89,0.4733,4,14883,19.631554,5.213869,8.31338135939728e-86,3.4579509764412986e-82,0.6086956521739131,0.028147389969293755
25,0.89,0.4733,1,3945,19.404934,2.406983,7.010964874799654e-84,1.458105419836458e-80,0.7648456057007126,0.3400886637112096
25,0.89,0.4733,3,14420,19.230892,4.2416434,2.040836841545699e-82,8.488860842409334e-79,0.5511811023622047,0.059263214095034704
25,0.89,0.4733,4,11188,19.188023,5.81443,4.660370507460734e-82,1.550784890062634e-78,0.43478260869565216,0.0127942681678608
25,0.89,0.4733,1,3851,19.138655,2.487862,1.2033608042687878e-81,2.2246130068248986e-78,0.6769596199524941,0.21785940468651044
25,0.89,0.4733,1,840,19.067732,2.4015815,4.681802411895791e-81,7.789582852912217e-78,0.7482185273159145,0.34578847371754273
25,0.89,0.4733,1,1186,19.026457,2.8422513,1.0298355034538273e-80,1.5576730096786162e-77,0.5439429928741093,0.1317289423685877
25,0.89,0.4733,0,6932,19.01201,2.4750957,1.3565260477607533e-80,2.2569880382643412e-76,0.6533980582524271,0.2824742268041237
25,0.89,0.4733,1,6229,18.906448,3.1237752,1.0092924665563185e-79,1.3993840048803355e-76,0.5890736342042755,0.18682710576314124
25,0.89,0.4733,1,6332,18.79646,3.1063879,8.072827661998295e-79,1.0331977433871357e-75,0.46080760095011875,0.08613046231792273
25,0.89,0.4733,1,9714,18.566854,3.8658564,5.959433522016482e-77,7.082361067093588e-74,0.32779097387173395,0.03229892336922103
25,0.89,0.4733,3,7117,18.555813,4.32163,7.319180053609537e-77,2.4355303546391098e-73,0.49606299212598426,0.04965296316070475
25,0.89,0.4733,1,5600,18.364904,2.418114,2.50887663165754e-75,2.7828459598345434e-72,0.672209026128266,0.24509183027232426
25,0.89,0.4733,3,2550,18.325928,5.1678085,5.139710415945344e-75,1.425241698341644e-71,0.31496062992125984,0.014415376401494928
25,0.89,0.4733,0,558,18.026012,2.288449,1.217630883656347e-72,1.012947132113715e-68,0.6281553398058253,0.28865979381443296
25,0.89,0.4733,3,8255,17.921432,3.656051,8.023570148773612e-72,1.9070880019327907e-68,0.8661417322834646,0.27068873465029364
25,0.89,0.4733,3,10450,17.813326,4.322281,5.5699072788441335e-71,1.1584014663176086e-67,0.4015748031496063,0.03203416978109984
25,0.89,0.4733,1,10702,17.770443,2.5098765,1.1974046393592218e-70,1.1719069640975726e-67,0.5985748218527316,0.19569347688410385
25,0.89,0.4733,1,6480,17.715204,3.8513641,3.2006003956802274e-70,2.95842163240709e-67,0.32304038004750596,0.03799873337555415
25,0.89,0.4733,1,7919,17.644264,2.5345373,1.126303743246083e-69,9.862864042172804e-67,0.5771971496437055,0.17036098796706775
25,0.89,0.4733,1,791,17.575897,2.6151612,3.7687696693816967e-69,3.135239487958634e-66,0.501187648456057,0.12539582013932868
25,0.89,0.4733,2,12137,17.467783,2.0553532,2.5210527482335918e-68,4.19452756251105e-64,0.8164893617021277,0.4020935960591133
25,0.89,0.4733,0,1453,17.423935,2.5445442,5.430952450220391e-68,3.0120062288922287e-64,0.4912621359223301,0.1422680412371134
25,0.89,0.4733,1,1501,17.412918,4.9298472,6.5841751458334846e-68,5.216547908398929e-65,0.22327790973871733,0.008233058898036731
25,0.89,0.4733,2,4136,17.33554,2.4997942,2.5366942280168726e-67,2.1102759282872363e-63,0.6090425531914894,0.19458128078817735
25,0.89,0.4733,3,14883,17.310524,4.1713734,3.918291197673668e-67,6.79370474224561e-64,0.33858267716535434,0.021356113187399894
25,0.89,0.4733,3,8085,17.30815,4.3893976,4.083246028516414e-67,6.79370474224561e-64,0.5433070866141733,0.07741591030432461
25,0.89,0.4733,2,13431,17.196829,2.621873,2.804660526226628e-66,1.5554647278452879e-62,0.6356382978723404,0.22598522167487683
